channelid,videocategoryid,channelviewcount,videocount,subscribercount
UCCc5t3tYj-fKc90BwGVblSA,24,61464,1,14
UC-zEBxX9Xzun4mli2ArKjjQ,27,9905,1,10
UC2khVqh0WQxLC4b6rLcnl9g,10,139969,73,91
UC1cIGhTo0WiOp0VRAglCaSA,27,201785209,325,251642
UCvZL5CwtJt_I5dI15AeHy-w,22,17653,27,13
UCUNmR55jFF7o0u4oVqoXCsg,24,725457,1,190
UCpmadplEROgHA_9m0Cse1Gg,22,21947573,7842,11308
UChPBqNUzjWkU3uGra_S0log,22,847962,64,119
UC8OOMKporuqEBJZ8uf7fAsw,22,58406,232,101
UCZfogiS6Mf27r53CLJJehLQ,17,61215,42,481
UCwyXamwtzfDIvRjEFcqNmSw,26,8319821,303,39905
UCETKopbJ3g1KlZVAvaw7dUw,25,13048992,3152,15901
UCMf8mzKBLR9uaQKUMbRdr1g,27,1298708,39,6988
UCKZ0P5KGj32fvuKS8pwzbFQ,20,103758,46,220
UCMc5gfr6_RSpNAKjiQf_xZg,17,189955,1,7
UCYHKWbpx6eX_ydppBcOIOng,17,11397512,1927,19618
UCFuBDJYsra9hg4YiLxjobEQ,24,8152164,487,6099
UCdAiIwrJ3F8cKdC0H5vZjsw,22,21674,8,20
UC_qModsQsEozKSO1u6XbYsw,22,15675325,218,35934
UCGHhehKQoYA0zeWiikDO6EQ,22,36746677,1300,5713
UC2JqhLQPIghWC6wLXYWYWow,20,344190,39,1824
UC9-Gf8yxR0eqECaBRjpGiNQ,2,1342872,31,270
UCLU580lMb6AGMlu85TfGmMA,17,1893908,432,4405
UCzcLeFkKzrPWQGDLiF9-6MA,2,176970,4,190
UC0N_fyvf9fnDv6V_kdK2jHg,23,270080,12,87
UClZsfG_SfyBAGaafLxymoVA,1,437139,20,2982
UCNylwDpBH_yziJ6VbJMIZ_Q,24,27023308,208,16978
UCDCZa9Yt64NX1_eWa-HNDhw,2,733872,99,719
UCKa8-ht-gbMxHFgQVuCgG3Q,17,63603,3,5
UC9bAont0I2B1RJVYEHeX_qw,17,22171,4,6
UCPcE_Bp5kaopWuZ59zsvqvQ,24,203123,508,351
UCjjXSlYkhse4uaXmq5lwlQA,17,96962,62,45
UCe4iMXmL24pauN6SC_8AGYg,24,32203,63,19
UCdV5g3jVn-sTw1VgULj0EfA,1,308440,9,203
UCzC-pzvjHz9Nj4KgkPvtD7Q,26,11007,29,80
UCVXcohmX3PIsbc0Djrr_dZw,22,265143,23,647
UCt5nMEki451pwJrO_4OhIsA,17,687201,40,109
UCK_zmTIJCyKTGnlXdSKKvcA,2,1254508,62,573
UCmsO3CyGDSgi1-XhkVns3TA,20,71219812,1442,487339
UCS8Oy03UZuvCL4jNvzgLHXA,10,36135,20,4
UCTVC4jP5RceBX_qSvFTwizg,24,843214,5,51
UCunJeWziKeN41EqEHoJfzDA,27,9154125,380,38634
UCqDNFlsAGhGrwGnFMrNaACw,22,7908,1,3
UCWRosBEZSnIyvsV1yHrk97w,22,156666,24,202
UCIiRSZloKxBXCU6u3cAfg1A,10,11656,7,12
UCdPyAsYflQVKjGFjT5ZrJ3Q,2,33767,8,11
UCDLHEEfT71h6GBQDpTGGyDA,2,4639433,561,5300
UCe5-2h1sTwR4F5cWrupuQ2A,28,7509,18,2
UCIl0UtYEi5BWJmpCouaAU-w,10,2270035,13,4470
UCkXEPd0bVvOlEVXlIuIWCQg,17,8014165,201,68103
UC1LVhxuYxOdBaX8iEaErylg,26,58655,10,187
UCjNFxOkOT6d2gPpXh4ecvOQ,20,142320,314,79
UCIjpoZ2hD7qUDmKMOzRU_ag,25,76166,9,20
UCos81LHdCNhZWn7CYFPEysg,15,10714,5,13
UCJlXjjGnGysAe3LRq6NWfxg,26,139941,37,422
UCc9zA_V3pbPux4c9ngKwMMQ,17,770424,44,1297
UCbYQWsGwpxrmbP7VpRINM9Q,19,6609,1,2
UCJaPR4kL_Y2olCCOgU3TS4A,23,71005,51,23
UC89o5O4MacqEEK7j--UJAOQ,2,141822,31,102
UCPgUOEE12K_Ku8EYXEjcVYg,20,114485,20,34
UCIzbYH4cwPZ7XRSBvtVoWzw,27,37906,5,61
UChMkPgagIDBzN9VFJNDuvYg,17,337123,288,470
UCnYvIsMJm5-ulb5-VOdSk2Q,26,35476,92,10
UCB3Rc71N4FReiNE_IOtzoLA,10,16085340,455,12175
UCP-fzpy8_36RSEv22CFqZUA,20,3596904,119,1079
UCcHmf8is3Oct4LV2KCHehhg,10,379103,90,3334
UC2LFjIOL8mNSF2kxXkqHGBQ,24,31791,4,3
UCxWVvknNtioCKy0ADYV_1VQ,20,778741,244,612
UC-PkBTL6H7MwKrMYkOI3sRw,17,23599,49,13
UCgTjPatXdSA5V0GDjBZh7pQ,2,1005294,247,95
UCWsr56sq5GBeikcLlBIvSpw,1,1586,7,20
UCx_jxl-J4SSi81SQ_myy9xA,20,4546,13,3
UCvueeIpQ6l5BlyzUTWY13eQ,10,457076,12,1421
UCUjcrwk5MFPfYbQ4XZptf1A,24,581675,74,625
UCImYogn-FXSu5nlVHx4GUhw,17,281427,32,1538
UCpuAPXDuJKe5fAuSLCG8LDg,17,32405705,2000,128006
UCzEcHV6aIUco6EaMd-dVP_A,10,69174,115,391
UCmIIBhzBfzoAt51zqdun_6g,2,40935874,1994,81979
UCGdZKY7dD8H2Ecsq9__xeqQ,22,2994131,304,1487
UCsMp4t_y0m_T9tXGGWjMOyg,10,1823,2,5
UCxH3W8AsCCHAnjL0ckn4M1w,10,62422,13,10
UCWNx-3LmYfa45rwgVPoz5JQ,17,45111,28,145
UCL272KR2XWCRK29Likf4xoA,10,21567780,124,33505
UCpKnbXIIl9ud9dYYQ8S-dqA,20,58418050,483,212933
UCuCuwcyEA7nuRmsvDKXPsdw,23,924536,20,132
UCUrr00OKh4SMieOvD9lkyQQ,22,13312,15,50
UC-o0hItpSKg5ZtuXAh_4rEg,10,286898,43,125
UC4vbiZMU_yrheYVZH393-Zw,10,43582729,1283,85491
UCui2MpemP6NouHLEap5jzrg,24,169477,45,127
UCF9C9nAU1MT4UzkfRjwJLMQ,22,10877,5,18
UClY-p9bQkEjmZvwYZtoLT5Q,26,2395191,610,27517
UCbNcN2DvPOwewfNK3bcodcg,24,5166376,868,12278
UCsavg5T0Jlxkcp2eD8krBAw,28,1075262,68,1592
UCul5qOGUH6uce4lrUZvjjTw,22,39663,12,62
UCuf2GsZmHGEx0rYsWnZM6HQ,10,877413,698,920
UChd8xWG_wsGStscuoouwQDw,20,9732321,2089,5203
UCLKkGgvbJkmVEYPNsbXWbwQ,28,296180,16,74
UC3CZydI1jQqZlSUJs_OKv4w,24,132720,48,71
UCEoUhirnLHXdsLNuY4t67bQ,10,644441,38,44
UC2B4vSWQA1yPFT1BnGdwv-A,24,299319,93,35
UC8y7LKPzQYlQDRifRnmAR9g,2,1432,1,1
UCNbOZesinLAZHeYPEUakqxA,10,9943,15,4
UCrcB0DHc-tIW9GBRp21C7CQ,17,68400,171,134
UCVSj-a8oGFDMTPnu9Dw5zhA,28,1372,3,1
UC0AFnSo40mMrYgetcpB4Yng,23,322272,11,151
UC7NszqtDGyVuQuxUEAN_n2Q,24,338457835,7561,527347
UCGeRki7JHKEhk27epcAJraQ,2,253681,8,28
UCLFXVxKZAdv-D5t6rhHKE3g,2,951577,39,2111
UCQzY3ru491eWtBpkrmI8bGw,20,16852,14,212
UCbwkJES4SHCA3Rue1gth8Tw,15,23777,48,37
UCYySQPwTcBoksOwDuWN2jug,10,5870,7,0
UCxt0Y4ZBRSBsjZU51twjrbQ,20,25459,36,80
UCVmqfvWsKeFaMGY68CbcVVQ,20,168400902,18798,111989
UCi5zjw6jW3wcn2WVTLmUwGQ,10,344667,14,119
UC_b2Ki-qn-k-Uk5o4DewJZw,1,79957,9,63
UCBi2mrWuNuyYy4gbM6fU18Q,25,2933160359,39354,2785886
UCpHzuU5P4RYHZ6FYM65-B7Q,10,13541,5,14
UCaGRdIhs2JvsV86sfmQ77Uw,15,33587,5,11
UCf4HHMwHEikpsEw8h1lEpGA,19,437221,912,420
UCpLo12cNyaf98rL6X8m6DCw,10,1470380,181,867
UCyRDvl5au7MCMmu6iFUHAPw,24,152330652,6960,56033
UCJd905SWgtBm3KKWHqo7jQQ,22,28516,23,12
UCJIu_TjwA4v9aPdby9Hyc-Q,10,295119,48,0
UC1vbTCUQ532eX7-WiHSlPNw,20,157185,21,50
UCjM6W66mhtWbV9MQt5DdMWA,10,126332,14,582
UCckhD29vIoA305hv7B45b_w,17,97783,169,54
UCkFSNF7Ud7nubexBE2u4B5Q,1,132222,39,517
UCwKkpawiRfLYtUWnRFNMMqg,20,650980,1128,1478
UCLHVyZuURuPVDhDc8RvZkGw,10,25161,13,13
UCOIZG2MYtCNR5Z1kMI0wY9Q,20,193028,80,146
UCW-xv2J5YgzpjPRm1UHNHuA,2,2369014,162,5798
UCMm9gAB8w_bY3aNecNxKumQ,10,1848171,288,1781
UCM87UTpuYbXN1g9NEL25PfA,29,7980446,1746,0
UC2YNdVM5r0tYGZTEnpzk_HA,17,9500,6,1
UCwOoWzyXr96Xi9TLKhTiPrA,22,539600,13,274
UCr9BUVSvVmC6N1FNjXTzdcw,20,6106808,986,6880
UCppHT7SZKKvar4Oc9J4oljQ,24,10156844021,69550,7949114
UCJIPobU02UmQ33es6ntCH8w,24,359824,304,579
UCns92rcso91zDiT-6I0RkOg,10,96442,55,121
UCResFVv9L3bWYmzBnpFPxAg,10,7514762,2550,8949
UCkxBtnCrCO_aN689SyVRS2w,10,80290,87,366
UCwHn3uh48gjEczPtzV8LJ9w,10,5794267,64,6929
UCevEhPt0ipo-0BJTymdNPRA,2,6426975,494,12560
UCVPz_nauEJpqPxxvYiOpCHQ,28,422709263,1604,1159349
UCF39B21wzKN4cV0S_8rCJbg,24,1413461,152,3645
UCOO67sI3yJShaF1aqFyCY1w,20,95409398,14612,33670
UCbfAlp8HDkf3a-lliQ9KD3w,2,19858364,9653,10209
UC0iFM-n9uJUxu1Fxjr1py8w,10,562071,240,100
UCkm8F_EkiAvMoomXS4brvjA,24,24544608,3387,0
UC8LaXDkRog0v23ctTm9-6mQ,23,16197,17,58
UCndLWRIilWm16aSlnlinywg,24,823549,57,2164
UCaPrFuNLsxMIr6Vwys5Xu7w,24,56132484,1929,123456
UCwP2MQ-Yf_UTVw8_Izj9eyA,2,280235,53,177
UCzgS81NwZgRfu3ov-DzfSyA,24,5527543,70,1265
UChxX1rBXlPYA-nc4yO_N4jQ,24,8681,19,17
UCBiijTQJVImfSpUgaAcfYJQ,22,3386,9,3
UCSW6T_4ZHlE6Zv-ulX75Kvw,22,202775,13,1470
UCBpkfc-8l7XCR730uSMnWhg,2,188748,9,197
UCp0N6cE6SxQE3McpZn4EwMA,23,318938,13,11
UCG9vnnKTvqgMM_TWYV7sc2w,22,10966273,871,13608
UCQud3hTkdYw5d8pLPrIvy4g,24,128110,23,1238
UCc4FImYfkkCURiyT2J8Q6xw,20,23072,18,89
UC21NEZr0ee7b5fOKuT9DPLQ,22,70762,8,244
UCzIrWDTXvdZfmM94j1BmPzQ,10,6628,4,2
UCgfsTt_EEXYQV3QkmIFNVow,28,1623490,322,1269
UCgVtp9bLXYYtG4vr9eOoBjw,26,154618,48,402
UCabxmwQBAo_Cehq5nbnA8tw,2,7034645,468,5552
UC9y1hU8lnLW8lEx6X7dnRoQ,2,6912339,491,8247
UC1V2jF0MhG16OYUYDxr762Q,28,33747,8,32
UCJxywJ13-2au1aEFpYxD-nA,1,7206401,3633,10423
UCylqbSK89ay23kRE_8eD5hg,10,1015507,115,1854
UCyigfVzgsmfecWMvCSt175g,24,437502,359,104
UCR_OJfVPguyW3PqdKBKLnKg,26,442526,115,3136
UCRMuTG_6XkHpwMXYuN3C6XQ,26,315679,97,1880
UCHXrugYHsgDyGlgNReOCuEQ,17,14259,8,19
UCGog6mnXBiYYfgYDkJVwimw,19,997515,356,793
UCYTNPItpJ4cZbBbJ4YG0M-w,20,14548,5,21
UCGZHG3Tdr0T8YWZ7Ac8TIYg,17,19645,28,17
UCV0Q5XoDann5uLJDkUjJ7Lw,15,34507785,295,421585
UCwfqkxgLt969ASXveL7DMIA,20,6225130,721,13296
UCqtaybBSAYm7EFLtkjG3A2g,10,157268,98,12
UCzqrEcpPii6BiuoQ-_V2Exg,10,29959,2,4
UC6ixzODPAdgVdY9aoSlPPew,27,23508964,1410,136639
UC3qWfVhOXpqpqWasZ5qsf0A,24,358874,189,611
UC_mSz_GpWz2ElEVJW4EGkgg,22,411767,67,1990
UCPVM3AXNxlKuozNuzZWFIrw,22,230879,10,18
UCMaooTVPbDVoIwhQuQqyfUQ,25,630652,128,238
UCa-oary40kq9LcnB7DL_NvQ,17,165467,11,21
UCgzIB9ZOzdsjdk2YmyIN4hg,22,96227,27,217
UCZkvqGJJn59qr6Z-RjbG8_Q,20,684655,24,9246
UCJzxApjhAysydtv2dqAYtMA,2,271554,20,116
UCofrfqvUR3F-0vAD30US6tw,2,228812,97,495
UC951hA3MLyjMNck7dHXf8MQ,17,1655252,76,546
UCFat2Ihn5mA2ZvFuroyOGwg,24,4814816,476,16022
UCcVBJaGDAsYjXEy81G9Nq8w,10,5106,6,8
UC53Bg53OBx6JVWFmh5kYWSw,10,519010,72,234
UCsp6H-PcjKT1xuQDzED68hQ,17,229884,11,334
UCTAK2aYsvkWANoStaDTATzA,20,99993,40,50
UCp1HdTRbbrT06mIOnECcp9A,19,65197,72,808
UCuDyNjro5X_cksrM79O-Jow,20,50376,20,19
UCTCkpwzbaazKvVK0YNoXo1g,22,11844,21,33
UC_7v7W1BNwEVvHyQIb9-oLw,22,98136,41,100
UCQpfkhb91g8spc2o2SUOzFA,10,27831732,151,26171
UCFSCGsVY8zJHy9toajXDlsA,22,561674,91,2869
UCuRfFw0PUpdYq59ooOAnu8g,27,850323,49,1112
UCvEn2EL-jWflvNxg3bO4myg,26,3633486,232,24039
UCmb0LnmFYceH7toqgmUTJDA,20,6179921,1433,50297
UCd400NDUWJdTLcO5jub06wA,10,44810,11,67
UCcEvN30KYmPHKtbtdH2D-CQ,24,147812,6,38
UCxjTGdg2DYJ9MVR0hkzpHvA,17,5684187,3121,6686
UCBXyQvKr-OaHUjpn3fEBsuQ,17,1017392,228,5056
UC8-APnASPyqxhvdiQOvvt9g,10,472221,169,131
UCmNYSzZTZw4QNawVQ038kvw,10,71873,222,34
UCgyz0qRzl96ydHBxkPD1pBw,10,31722684,3866,117183
UCIOD9FAJdprn4J5p83Rb5Aw,22,1694,1,3
UCiuvu9bNX6qSv3oN80IBPZw,22,1740,2,7
UCSG_nwo2bk1yO4omKzMpgvQ,2,1663924,85,148
UCUf6Vx8WiFlrvzK8ElRO8Lg,22,9051,2,9
UCSbJvvoYLE4u1YxADiDqvNQ,24,459432,19,299
UCNwS8A4ElHoDRMw1U0uvbcA,10,26632,31,5
UCSIUdxwx3udSRQ4lzF9irVw,10,255926,15,1123
UCBaUZ8KMzvfdKYNzdQpBQ2g,10,6781495,26,1107
UCaGIYzA5H5k_7dAaOpA4WYQ,10,91125,13,37
UCdLzmm5vknO86yO8UrI41xw,10,3933344,853,6995
UCZjDi3Wuy4IekimOjbYGpCQ,10,12616,11,2
UCU6fJd58eq6YauDlmdtmDHA,10,15417,6,3
UCovtFObhY9NypXcyHxAS7-Q,27,16843082,1041,256401
UCc7CrqpdgGZlQyso7O7Cj2A,10,567803,152,551
UCSA-3fh1WzfKnHPkDUmoqMw,28,9746182,114,66798
UCE1Mu3LbnE7_OzPfsKqDS-g,10,25943415,221,33848
UCjJMacMVI8gIoRILqJuOn3Q,24,17290715,1537,49363
UCYVinkwSX7szARULgYpvhLw,20,2345014530,2492,8996032
UCqWqrfbzNvXECu39vl_pP5w,1,31631010,62,22725
UCZLmV977wZ41RROjOuu-oFA,24,59626899,14812,34926
UCkmxvZFOr4PwzFnRdIyNllg,22,5073,8,2
UCPRfNEBTjnz0GGHb2hMekZQ,20,10678681,169,41691
UCqFMzb-4AUf6WAIbl132QKA,17,506023098,34952,759114
UCuuTQ-HEwfCSZwCtnc1bgeQ,24,280701,529,1211
UC1w33mzH5SuhRDlykhRLbwg,24,2187493,62,5631
UCUo0U24mV861yudj-aVPGpw,1,86840,334,236
UCrMk4rcFt3VYEMif-bQTNEQ,10,5843,3,2
UCTsKqIi_pEE3LbWKrkrdSyQ,28,14064825,1169,67543
UCmOCtkOn7Nu7eIJ8prfJzYA,22,24056,12,43
UCIaeAU4AQ-Kycl6upDplwkg,1,780378,13,515
UC2NGqwU5sbGEEGFKWEBy-sA,22,265834,159,888
UCJA-HEM9UApjvS2ChQH9qAg,2,4342385,1073,1276
UCFzyeVLrv5xzn2iTjnjaNTw,28,48493227,2291,172465
UCf1pUrBH4F9wViExU7Q64KA,17,1937353,805,389
UC3xGcbDsDSHajQN272Cq7DA,17,1673994,140,19822
UCt8lsih6xiO3bzyJpVQocjg,20,362988,43,100
UCBvc7pmUp9wiZIFOXEp1sCg,17,512778017,312,3720189
UCMYQ-wuuzPvpywRy_Lce6Aw,22,380056,78,537
UCmxZw7N4Jyljr1RbSs4Ymaw,17,307187457,12601,209399
UCCAIgKd_LTfWdoEnWFgJrtw,24,17573,26,5
UCMWwvUso2x6wVDTYXKSZHKQ,26,684290,55,277
UClZT7qdA7ITMxJney_EWl8w,17,525323,2747,497
UCD2I0Ha3zCDQLOQlD1yIEFQ,24,247918,24,6540
UChKKMC4c1Vs-Pn8-WgqX_Sw,2,13954,23,15
UC2kgtRlVruCIX_dZm86CQXQ,27,2288218,505,4648
UCYuU21LIpKm-NX_WTCqr56Q,10,51921,24,31
UCK0NRY1A09-L0xLvZgIqQ5Q,24,3662,3,1
UCrKZx553F5U1272WkMg8xcQ,20,170382,108,78
UCTIM_X5ZCgrA4-JD41PcTfA,24,178019,54,327
UC9xTxkz6DYaumBV3TZaMVpw,20,240730,10,158
UCcqmDO49s3X2O-n-088a8vw,17,6728,5,4
UCj6iJTEk_YLd9o1Jqt5xdYA,26,12127696,321,0
UC3kKWui3o96J9nn1lkRwPcw,24,6937,1,11
UCu0wB4RWds4nr1dsd-r20JQ,10,31129,13,30
UC92lZ9DgpF_9wmIUq9RIYCA,10,5413879,261,2687
UCZsjyt3uUzX1WjPx5Xx-kRg,17,4331514,618,13027
UCtAVULgy36_oLYhqL3isw2g,10,75380105,614,61335
UC1eX5wWGYtRK4rdTc77Rv2g,20,8345053,557,84189
UCadeTfYRY_z0YDEjnp-G6Tg,15,2879,1,0
UCV6CUMU_qxAfk9e95ouY9Hw,23,111122,33,10
UCmL1WlDI8UkXDXCXcBQN9CA,24,2638799043,11048,3441210
UC76lmZQ21I84rFRPhX2q2tA,2,29653,13,75
UCxmdHBtWHO3e_76bNY3absw,24,4381,3,11
UCYe-j_a6tAVTZyZrGCZq8dQ,24,562063,62,670
UCYRStfklk8otfZpY9E5nK4g,17,2726788,141,21790
UCLXsp7GMZs9WAzpf2upSWpw,10,14778,19,36
UCX-yBC6iSJlKfLi98mtcBeg,27,303565,399,681
UCXUVrPB5njxF8IBae0ttJPg,2,6740613,379,28235
UCMV_qLZHelFkKoI55DfD70g,26,1529633,50,16071
UCSv6yKLOumjO0JnPt5bcPjg,19,1489216,253,19130
UCQpC5Xa15Gdyby9rbWG6BpQ,10,158273,24,254
UCS2P0xawLDZHWFyBymVOK1A,10,22454838,2088,34545
UCvAN6YEXlaq1CfgSZnirLbA,22,9280,7,17
UCaV95UnnLvOqYrE5045ZsTQ,22,50926,28,84
UCWAE56h2fnfzENVmQhW5Eyg,26,164843,11,1524
UCWy92ED4uH2tD149Ubk4--Q,22,297484,21,42
UCtaYUtD7j-UDRccC5WdzglA,25,450482,280,817
UCMf2NsucUuJYlF1aN5tmG_Q,24,176184,156,360
UCRD6jdpxNXO57p13uUt6afg,20,181225,98,1484
UC8k9J2Y9eE0N28mihfLD9fQ,17,53189044,959,153606
UCYAnCh6SqIyaL6Eoj1Llhig,17,968138,178,23273
UCY_Ss4xRkzDMM9MzKjiqnCw,22,15776371,1261,20885
UCdwmfUxRXrdmGfxpvg0DH0g,2,683464,305,1264
UC_l4MUMQx5C189xisDj52gQ,24,179395,870,83
UC8YLUBuHjRIc49mAEXynZPA,24,169261,25,34
UCzpdzS-yHv3naJFb2Ojcw3A,24,1758697,204,344
UCgDRHon4vwkOgd1ETBo-laA,10,87911,17,56
UCBfDOjJK0xbRpP_RyqLP7yQ,2,61713,13,11
UCmSnopYR03AJufr4-tPJH0Q,24,3066666,339,373
UCjS8211BG-4Ixldev02qSuw,10,310088,55,86
UC8_JumwjO1xA6gnd-SRJbrA,17,1065085,288,2232
UC7SpLClHphJGNAFA2HbMLzg,10,12720,8,124
UCi09iSRiQuI8Yum2s4Jqk0A,22,19180,1,14
UCKM-4OlZgD1iBclTOBVyI-Q,24,35032922,62,398117
UCIUsF7kMTGigJJd8qWYuvkA,24,672863,6,773
UCc77G_FOiLE1RLyegKMWFEQ,17,10561,22,8
UCUhNmvjnOCtCRqCfC180z5Q,24,700101,349,5631
UCUrZK4HLiPpMVJYi9SvN9IA,10,25963,15,109
UCCHOj2caVpX0rbKWUwfc7nw,10,5325,70,3
UC9niXIxvN0X3B3nybwquQ8w,25,102425,58,35
UCfF6hVZ-eVGE7yP9QECDK-g,20,1672431,83,4275
UCG087oup63HrkYKw6H4Orcg,10,429077,74,660
UCFjP-tlWXRZG4vc1SJaZWgw,22,2079535,191,3058
UCMsHRBMzq1TApRcC5MeD7QQ,2,16861185,415,5946
UCpNbMDNc_GXApuxL4aHjSsA,26,12516376,314,173419
UC4JEc3D9aQgG6CPXZVScDZQ,10,43186,8,7
UCC1UcDbrHhqtmZ-XmQ0XhCw,10,40783,38,68
UCrfab2aBVpXhJQvcPumUo3A,10,512457,88,78
UCfbihn7U49ox9oQcI6EuQWw,24,3560762,988,4348
UC29Po77t3EDh_2quyrfR-Dw,23,13958035,2737,15626
UCxqBrvhUF9Ebc9BQxK7JjVA,10,665499,18,109
UCdlHmsUn-pvgOaZ3E3vj6Lg,17,3441715,166,2806
UCfCj-cHNM78KgfXdMVRDb6w,23,43745,4,7
UCujb5MIcKh7KeSWQ7Uax-Wg,17,10566344,2355,34780
UCPZQB35QNvyACZan7PMUZLA,17,19409041,10770,9588
UCjZtkT7xZj05CnDUA33MBQQ,20,682941,42,746
UCg7DHIQXQwuDrItu84MJgew,24,2097674,274,9840
UCHc3el42hXKKhjs_1vzWk9A,24,1227272786,63345,1277109
UC0tGLNPcRvZEzuBYiFMC5eQ,27,1242802,701,9600
UCKnFmxcCDhL9h67Q20GubRQ,22,39708,5,64
UCFsOHIk_L2ujgO4ARD5d9_Q,10,2323455,1122,2488
UCpTFa6iMQ2vMKfTjq3OOCtg,19,38380,17,12
UCTuHIoX1JHYNtKhemy8hsRA,22,9726,13,1
UCypHcf4Zl17QyY-JZmrZvsw,10,288746,31,22
UCVdlqEnP5kA9DyMwabjANsg,10,326694,113,544
UCdAaglkVn0yuXcH5xvnIbQA,20,5199000,159,3386
UC5r3WHrX4Z7peSYpDlgktGw,27,21912145,1181,405150
UCshyM08-MXmCTAq74i3aIkg,28,28227069,836,91112
UCfv1BXGB5n396-twcVKp4BQ,20,18787,31,23
UCmnp-WxsWlhdGZ_lforMX4g,17,53840666,48196,34092
UCv5vbEwaUh0LO6dwVa0iVEw,24,48465963,5023,59645
UC4fxQhWEtdx9R2YHyBNML1g,24,42354,2,4
UCkEeEFu-z9fF_Wpr-tsOoDw,20,8399238,1821,35789
UC6tMN5nmjuWFK3EF6VQ1SuA,1,750073,89,246
UCHrl0SCnhZ2czuezyMZz9ag,1,863579,125,3106
UCozv2WyA_7HJezHV9BW-_SA,24,9050871,309,145728
UCl6mJdBn-R_jAsFXq8uFZng,10,34951100,366,31796
UCUcAiwBk5bjOB-FArf4eOuQ,22,203003,122,534
UCeQmge0MSMyQqDhVk0zsmjw,10,22847,37,0
UC9LKH61gteD90fEuySOnzDw,20,6403838,1739,6136
UCwzPyAbM-mBHg5ISpmkQ3Ow,26,8538956,307,66135
UCak8fK-ILF4ep9TkTrnvpSw,20,144728,145,5653
UCJMPb3AhRVjPGMZYQb_kIyg,17,189431,43,159
UC0lCPqGnp2Ms9BVO_PwT7_w,10,54951,38,0
UCLQZTXj_AnL7fDC8sLrTGMw,2,121404824,6026,394155
UCG1sByvYsOVfu7uVliY8qOw,27,51260322,392,62501
UC2MYPIpoyCzCJ6vkL1LpZYQ,10,801173,23,504
UChoz8fVg1M0QHJTCWDwZPhw,22,209383,25,57
UCjmjWp38PCg15Z5ZS-tmpfw,2,20492507,375,71344
UCt8w6KPEDkf_Qe1FreHCU0A,24,1846865958,1016,3092603
UC62FeQXll5aE7U7YirwwpWw,22,6957,6,2
UCuRKwEJhPkAzIUpntqxDHQw,23,1589483,448,3393
UCMzOv2W12eehIDBzLXpRtjw,27,92677,15,131
UCKKbzv2Mq3YlXhwEd3hx58g,22,781170,262,1289
UCjAaUjBrbOnZFB_d4xPal7w,10,15503,5,19
UCrERTllrAthll3gS_LrAtdg,28,61627,9,202
UChytPNRRSqwF1Jp5_tW-X9w,10,1940,2,0
UC5NdbwHcnz5DlBTIotY8HIQ,10,2739121,174,5206
UCH_agkhtxm48qM5cn4-lykg,1,107737,13,118
UCjcFOi0n4HeR0cWILMkBVuw,22,125693,28,297
UCP8-U_UmqteO-fskHwwtX3Q,20,71122,16,80
UCcnmB4kT9xR8WM1cbnvbY_w,17,422952,139,332
UCYJpXXxZ-E_UTVZkGSrScbQ,10,305070,151,119
UCfHalTgd9GfMoM1az9yLKqg,10,12851,6,16
UC9Hrgm4iHzcfWM56SVw2tuQ,10,239568,50,607
UC-yqiX1Q_vUORSADVplrkbQ,22,1210804,91,963
UCVdrtgK208SJQ6EDMC3sQng,17,29556,6,137
UCuCXCyTDYkFxP_LvN4-75nQ,10,7339,12,10
UChySZ4hAHvHiCC0pL0GPbAA,23,458542,82,3149
UCq8GvqpdYBjizNGkDJJ9Y_g,28,11721027,210,63699
UCw51XXsdK-2EC489Emwcqcw,22,3939,20,4
UC0xvgIkMAnR-E6A-ThAj7CQ,24,194626,193,32
UCDCakQTZx0yL_mHgs7pO6Ew,10,633014,228,807
UColm42gbjL-8al49kqqi4Fw,2,17092725,361,12030
UC2vuM7StuJ7dapcFqKrPDiQ,17,105435477,7079,232821
UC3q_7Bja12Vb3NUgx6lX7Ww,17,2206814,639,237
UClKxqA23xYjZqscXHidIVWA,27,253890,27,2487
UClTHe2ceM0je2aFH4Vz83mg,22,76777105,642,97720
UCQzfpkHNUviMt1FNiT1NWLQ,10,50018,45,92
UCybPtozyD1bAlzo3ubKR5GA,20,705824351,39949,422831
UCba2uIYq75m6SNuK8TtmG9A,26,97817372,323,867605
UCla-QAUwgtbiWPqujNxLfcA,10,875666,129,238
UCt6pRNqkrWZDUebhL1o3T8w,28,3348667,45,1224
UC7jE5vgoYGxCahfAtWlk0gA,24,118485,183,68
UCr1_i2AUi6O7RErRTs4rjrA,24,1426282,181,328
UCbWX64TI2HJI3Y4Rzs4T-Sg,20,49776,12,23
UC072Jd6peqMAy22PUx9bDZA,26,382242,23,4237
UCd5R8xizUUgzJdwXFSS7_Xg,2,67223766,643,67469
UCx54XHfs_9IMVN_ZTKoRuDA,23,4931,11,2
UC2E67yeucJtRLEyyPGjSoww,29,548005,50,369
UCTewGQMmMs0CncOVTMLwhQg,22,53388394,981,268957
UCSVUGVgkOBAtSF_5Lr3BplQ,17,1716,3,2
UCVesA0tasKJBTC3ebUNnp-Q,20,145206,21,119
UCzs40Csl6opEL5i_4YuK_Pw,10,1356473,20,377
UCk6TpMJVc5ep4IwqT24Fubw,10,2004699,276,1053
